# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 3777.571131
2, 1.9991, , , 3777.571131
3, 2.997302, , , 3777.571131
4, 3.994607, , , 3777.571131
5, 4.991016, , , 3777.571131
6, 5.98653, , , 3777.571131
7, 6.98115, , , 3777.571131
8, 7.974878, , , 3777.571131
9, 8.967714, , , 3777.571131
10, 9.959661, , , 3777.571131
11, 10.950719, , , 3777.571131
12, 11.940889, , , 3777.571131
13, 12.930173, , , 3777.571131
14, 13.918572, , , 3777.571131
15, 14.906087, , , 3777.571131
16, 15.892718, , , 3777.571131
