# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 194501.574018
2, 1.999983, , , 194501.574018
3, 2.999948, , , 194501.574018
4, 3.999895, , , 194501.574018
5, 4.999825, , , 194501.574018
6, 5.999738, , , 194501.574018
7, 6.999633, , , 194501.574018
8, 7.999511, , , 194501.574018
9, 8.999371, , , 194501.574018
10, 9.999213, , , 194501.574018
11, 10.999039, , , 194501.574018
12, 11.998846, , , 194501.574018
13, 12.998637, , , 194501.574018
14, 13.998409, , , 194501.574018
15, 14.998165, , , 194501.574018
16, 15.997903, , , 194501.574018
