# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 22.332162
2, 1.858523, , , 22.332162
3, 2.603609, , , 22.332162
4, 3.256347, , , 22.332162
5, 3.832905, , , 22.332162
6, 4.345883, , , 22.332162
7, 4.805249, , , 22.332162
8, 5.21899, , , 22.332162
9, 5.593581, , , 22.332162
10, 5.934329, , , 22.332162
11, 6.245621, , , 22.332162
12, 6.531119, , , 22.332162
13, 6.793902, , , 22.332162
14, 7.036576, , , 22.332162
15, 7.261364, , , 22.332162
16, 7.470174, , , 22.332162
