# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 291.800498
2, 1.988416, , , 291.800498
3, 2.965447, , , 291.800498
4, 3.93129, , , 291.800498
5, 4.886135, , , 291.800498
6, 5.83017, , , 291.800498
7, 6.763577, , , 291.800498
8, 7.686533, , , 291.800498
9, 8.599215, , , 291.800498
10, 9.501792, , , 291.800498
11, 10.394431, , , 291.800498
12, 11.277296, , , 291.800498
13, 12.150546, , , 291.800498
14, 13.014337, , , 291.800498
15, 13.868823, , , 291.800498
16, 14.714153, , , 291.800498
