# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 7603.262776
2, 1.999553, , , 7603.262776
3, 2.998659, , , 7603.262776
4, 3.997319, , , 7603.262776
5, 4.995532, , , 7603.262776
6, 5.9933, , , 7603.262776
7, 6.990622, , , 7603.262776
8, 7.987499, , , 7603.262776
9, 8.98393, , , 7603.262776
10, 9.979917, , , 7603.262776
11, 10.97546, , , 7603.262776
12, 11.970559, , , 7603.262776
13, 12.965214, , , 7603.262776
14, 13.959425, , , 7603.262776
15, 14.953193, , , 7603.262776
16, 15.946518, , , 7603.262776
